HA1,,HA2,,HA3,,HA4,,HA5,,HA6,,HA7,,HA8,,HA9,,HB1,,HB2,,HB3,,HB4,,HB5,,HB6,,HB7,,HB8,,HB9,
X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm)
-15.657757,12.236955,,,-46.90125,-6.532598,-5.306984,17.689971,,,,,,,,,,,-25.279177,-3.00169,-25.283964,-2.9611,,,6.020268,-18.648853,,,,,,,,,,
-17.458651,12.360988,,,,,-15.651888,12.244461,,,,,,,,,,,46.879583,-1.939374,-25.308511,-2.885292,,,-7.72244,-18.346889,,,,,,,,,,
22.729387,-20.550155,,,,,0.655594,-20.589575,,,,,,,,,,,,,,,,,-17.162267,10.11521,,,,,,,,,,
39.812081,9.917664,,,,,-18.831825,-8.908447,,,,,,,,,,,,,,,,,-7.362946,-18.527408,,,,,,,,,,
41.071576,0.631064,,,,,-20.953663,-0.359631,,,,,,,,,,,,,,,,,-10.776958,-16.773044,,,,,,,,,,
16.331423,39.810245,,,,,-17.456278,12.364338,,,,,,,,,,,,,,,,,18.47084,-7.544758,,,,,,,,,,
-46.902813,-6.52136,,,,,-13.872132,16.38575,,,,,,,,,,,,,,,,,17.107532,-10.267796,,,,,,,,,,
,,,,,,13.189281,16.959931,,,,,,,,,,,,,,,,,-10.063699,-17.228385,,,,,,,,,,
,,,,,,5.127224,22.064386,,,,,,,,,,,,,,,,,-6.997963,-18.701385,,,,,,,,,,
,,,,,,6.072534,22.11437,,,,,,,,,,,,,,,,,18.662816,-7.143599,,,,,,,,,,
,,,,,,14.219856,18.624552,,,,,,,,,,,,,,,,,16.884232,-10.688986,,,,,,,,,,
,,,,,,-4.510657,23.264731,,,,,,,,,,,,,,,,,16.871154,-10.709617,,,,,,,,,,
,,,,,,-17.352678,-17.200295,,,,,,,,,,,,,,,,,-5.49578,-19.212707,,,,,,,,,,
,,,,,,20.487124,-13.427803,,,,,,,,,,,,,,,,,-6.864583,-18.767238,,,,,,,,,,
,,,,,,23.472125,-9.384084,,,,,,,,,,,,,,,,,-11.298466,-16.482608,,,,,,,,,,
,,,,,,25.388946,6.546828,,,,,,,,,,,,,,,,,18.742617,-6.976031,,,,,,,,,,
,,,,,,-23.454717,-12.405564,,,,,,,,,,,,,,,,,16.801262,-10.847503,,,,,,,,,,
,,,,,,-27.630767,4.30191,,,,,,,,,,,,,,,,,16.795541,-10.856358,,,,,,,,,,
,,,,,,-18.552287,21.216644,,,,,,,,,,,,,,,,,-6.739636,-18.828914,,,,,,,,,,
,,,,,,29.271241,-2.87588,,,,,,,,,,,,,,,,,16.713113,-11.010996,,,,,,,,,,
,,,,,,22.039142,19.737769,,,,,,,,,,,,,,,,,16.704663,-11.023812,,,,,,,,,,
